"player_champion";"total_matches";"total_wins";"win_rate"
Naafiri;65;25;0.3846
Katarina;319;130;0.4075
TwistedFate;205;85;0.4146
Smolder;676;282;0.4172
Zeri;363;155;0.427
Mordekaiser;306;131;0.4281
Aurora;277;119;0.4296
Yone;481;209;0.4345
Kayn;266;118;0.4436
KSante;169;75;0.4438
Shyvana;121;54;0.4463
Renata;114;51;0.4474
Shaco;239;107;0.4477
Briar;98;44;0.449
Sylas;401;181;0.4514
Corki;317;144;0.4543
Singed;143;65;0.4545
Morgana;187;85;0.4545
Heimerdinger;22;10;0.4545
Amumu;216;99;0.4583
Zed;336;155;0.4613
JarvanIV;247;114;0.4615
Vex;143;66;0.4615
Urgot;119;55;0.4622
Taliyah;354;164;0.4633
Yuumi;179;83;0.4637
Irelia;263;122;0.4639
Ezreal;1,059;493;0.4655
Tristana;280;131;0.4679
Rakan;363;170;0.4683
Pyke;333;156;0.4685
Illaoi;98;46;0.4694
Gragas;574;270;0.4704
Yasuo;490;231;0.4714
Lillia;184;87;0.4728
Syndra;283;134;0.4735
Orianna;232;110;0.4741
LeeSin;807;383;0.4746
Twitch;231;110;0.4762
Rell;298;142;0.4765
Rengar;214;102;0.4766
Kalista;201;96;0.4776
Graves;339;162;0.4779
Gangplank;244;117;0.4795
Teemo;102;49;0.4804
Nunu;129;62;0.4806
Azir;237;114;0.481
Kayle;133;64;0.4812
Neeko;135;65;0.4815
Qiyana;89;43;0.4831
Thresh;709;345;0.4866
Renekton;378;184;0.4868
Viktor;384;187;0.487
Darius;388;189;0.4871
Brand;271;132;0.4871
Rumble;197;96;0.4873
Diana;430;210;0.4884
Nocturne;190;93;0.4895
Sett;210;103;0.4905
Gnar;263;129;0.4905
Aphelios;177;87;0.4915
Karthus;250;123;0.492
Udyr;256;126;0.4922
Zac;323;159;0.4923
Kindred;203;100;0.4926
Sejuani;146;72;0.4932
Ornn;158;78;0.4937
Varus;587;290;0.494
Sion;216;107;0.4954
Galio;123;61;0.4959
Cassiopeia;127;63;0.4961
Ashe;858;426;0.4965
MonkeyKing;294;146;0.4966
Khazix;360;179;0.4972
AurelionSol;181;90;0.4972
Nidalee;183;91;0.4973
Sona;195;97;0.4974
Vayne;405;202;0.4988
Viego;431;215;0.4988
Lucian;653;326;0.4992
Caitlyn;887;443;0.4994
Kennen;72;36;0.5
RekSai;158;79;0.5
Xerath;220;110;0.5
Blitzcrank;172;86;0.5
Maokai;200;100;0.5
Leona;293;147;0.5017
Veigar;245;123;0.502
Kaisa;1,203;604;0.5021
Ahri;673;338;0.5022
Elise;191;96;0.5026
Jayce;276;139;0.5036
Akali;365;184;0.5041
Olaf;119;60;0.5042
Warwick;101;51;0.505
Jax;396;200;0.5051
Ryze;184;93;0.5054
Aatrox;599;304;0.5075
Leblanc;327;166;0.5076
DrMundo;226;115;0.5088
Draven;430;219;0.5093
Shen;216;110;0.5093
Ziggs;212;108;0.5094
Karma;688;351;0.5102
Lux;853;436;0.5111
Zyra;340;174;0.5118
Nautilus;670;343;0.5119
Volibear;242;124;0.5124
Skarner;283;145;0.5124
Fiora;189;97;0.5132
Xayah;333;171;0.5135
Jinx;1,167;600;0.5141
Camille;375;193;0.5147
Milio;514;265;0.5156
FiddleSticks;128;66;0.5156
Malphite;213;110;0.5164
Zoe;234;121;0.5171
Samira;261;135;0.5172
Alistar;261;135;0.5172
Velkoz;226;117;0.5177
Janna;272;141;0.5184
Hwei;528;274;0.5189
Evelynn;127;66;0.5197
Vi;275;143;0.52
MissFortune;435;227;0.5218
Lissandra;228;119;0.5219
Ekko;375;196;0.5227
Garen;176;92;0.5227
Nami;682;357;0.5235
Talon;191;100;0.5236
Braum;301;158;0.5249
Annie;156;82;0.5256
Jhin;1,031;542;0.5257
Hecarim;116;61;0.5259
Quinn;116;61;0.5259
Ambessa;172;91;0.5291
Kassadin;173;92;0.5318
Senna;428;228;0.5327
Gwen;212;113;0.533
Belveth;144;77;0.5347
Swain;264;142;0.5379
Lulu;849;457;0.5383
Poppy;437;237;0.5423
Anivia;189;103;0.545
Tryndamere;146;80;0.5479
XinZhao;211;116;0.5498
Chogath;109;60;0.5505
Nilah;87;48;0.5517
Trundle;172;95;0.5523
Malzahar;161;89;0.5528
MasterYi;197;109;0.5533
Zilean;137;76;0.5547
TahmKench;283;157;0.5548
Nasus;173;96;0.5549
KogMaw;171;95;0.5556
Pantheon;244;136;0.5574
Yorick;206;115;0.5583
Ivern;227;127;0.5595
Bard;132;74;0.5606
Riven;319;179;0.5611
Taric;99;56;0.5657
Kled;53;30;0.566
Rammus;97;55;0.567
Seraphine;355;203;0.5718
Akshan;61;35;0.5738
Fizz;134;77;0.5746
Vladimir;412;237;0.5752
Soraka;400;231;0.5775
Sivir;237;139;0.5865
